material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.6645,0.98304,0.01696,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.6208,0.98459,0.01541,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.5774,0.98699,0.01301,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.5344,0.9893,0.0107,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.4918,0.98795,0.01205,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.4495,0.98934,0.01066,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.4075,0.98801,0.01199,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.3659,0.9883,0.0117,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.3246,0.98952,0.01048,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.2836,0.99042,0.00958,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.2429,0.99102,0.00898,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.2026,0.99095,0.00905,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.1626,0.98994,0.01006,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.1229,0.99029,0.00971,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.0835,0.98726,0.01274,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.0444,0.98702,0.01298,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,10.0057,0.98714,0.01286,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.9672,0.98628,0.01372,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.929,0.98511,0.01489,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.8911,0.98447,0.01553,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.8535,0.98183,0.01817,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.8162,0.98112,0.01888,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.7791,0.98031,0.01969,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.7424,0.98118,0.01882,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.7059,0.97921,0.02079,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.6697,0.9773,0.0227,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.6337,0.97905,0.02095,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.598,0.97778,0.02222,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.5626,0.97764,0.02236,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,9.5274,0.98004,0.01996,alumgrte.prn
